,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius,BanyakKotaRawan
8634,Jakarta Barat,dini hari,Berawan,75-95,24-34,17
8635,Jakarta Timur,dini hari,Berawan,75-95,24-34,23
8636,Jakarta Utara,malam,Cerah Berawan,75-95,24-34,15
8637,Jakarta Pusat,malam,Berawan,75-95,24-34,2
8638,Kepulauan Seribu,malam,Cerah Berawan,75-95,24-34,0
8639,Jakarta Selatan,malam,Hujan Lokal,75-95,24-34,25
8640,Jakarta Barat,malam,Hujan Ringan,75-95,24-34,17
8641,Jakarta Timur,pagi,Cerah,75-95,24-34,23
8642,Jakarta Pusat,siang,Cerah Berawan,75-95,24-34,2
8643,Kepulauan Seribu,siang,Cerah,75-95,24-34,0
8644,Jakarta Selatan,siang,Hujan Ringan,75-95,24-34,25
8645,Jakarta Barat,siang,Cerah Berawan,75-95,24-34,17
8646,Jakarta Timur,siang,Hujan Lokal,75-95,24-34,23
8647,Jakarta Utara,pagi,Berawan,75-95,24-34,15
8648,Jakarta Pusat,pagi,Berawan,75-95,24-34,2
8649,Kepulauan Seribu,pagi,Cerah Berawan,75-95,24-34,0
8650,Jakarta Selatan,pagi,Cerah,75-95,24-34,25
8651,Jakarta Timur,malam,Hujan Lokal,75-95,24-34,23
8652,Jakarta Timur,malam,Cerah Berawan,75-90,23-33,23
8653,Kepulauan Seribu,malam,Cerah Berawan,75-90,23-33,0
8654,Jakarta Pusat,malam,Cerah Berawan,75-90,23-33,2
8655,Jakarta Utara,malam,Cerah Berawan,75-90,23-33,15
8656,Jakarta Timur,dini hari,Cerah Berawan,75-90,23-33,23
8657,Jakarta Utara,dini hari,Cerah Berawan,75-90,23-33,15
8658,Jakarta Selatan,dini hari,Cerah Berawan,75-90,23-33,25
8659,Kepulauan Seribu,dini hari,Cerah Berawan,75-90,23-33,0
8660,Jakarta Pusat,dini hari,Cerah Berawan,75-90,23-33,2
8661,Jakarta Selatan,malam,Cerah Berawan,75-90,23-33,25
8662,Jakarta Barat,dini hari,Cerah Berawan,75-90,23-33,17
8663,Jakarta Barat,malam,Cerah Berawan,75-90,23-33,17
8664,Jakarta Selatan,siang,Hujan Ringan,75-90,23-33,25
8665,Jakarta Utara,siang,Cerah Berawan,75-90,23-33,15
8666,Jakarta Pusat,siang,Cerah Berawan,75-90,23-33,2
8667,Kepulauan Seribu,siang,Cerah Berawan,75-90,23-33,0
8668,Jakarta Barat,siang,Hujan Lokal,75-90,23-33,17
8669,Jakarta Timur,siang,Hujan Lokal,75-90,23-33,23
8670,Jakarta Utara,pagi,Cerah Berawan,75-90,23-33,15
8671,Jakarta Pusat,pagi,Cerah Berawan,75-90,23-33,2
8672,Kepulauan Seribu,pagi,Cerah Berawan,75-90,23-33,0
8673,Jakarta Selatan,pagi,Cerah Berawan,75-90,23-33,25
8674,Jakarta Barat,pagi,Cerah Berawan,75-90,23-33,17
8675,Jakarta Timur,pagi,Cerah Berawan,75-90,23-33,23
8676,Kepulauan Seribu,malam,Cerah Berawan,60-95,24-33,0
8677,Jakarta Pusat,malam,Cerah Berawan,60-95,24-33,2
8678,Jakarta Selatan,malam,Cerah Berawan,60-95,24-33,25
8679,Jakarta Timur,dini hari,Berawan,60-95,24-33,23
8680,Jakarta Utara,malam,Cerah Berawan,60-95,24-33,15
8681,Jakarta Selatan,dini hari,Berawan,60-95,24-33,25
8682,Kepulauan Seribu,dini hari,Berawan,60-95,24-33,0
8683,Jakarta Pusat,dini hari,Berawan,60-95,24-33,2
8684,Jakarta Barat,malam,Cerah Berawan,60-95,24-33,17
8685,Jakarta Barat,dini hari,Berawan,60-95,24-33,17
8686,Jakarta Timur,malam,Cerah Berawan,60-95,24-33,23
8687,Jakarta Utara,siang,Cerah Berawan,60-95,24-33,15
8688,Jakarta Pusat,siang,Cerah Berawan,60-95,24-33,2
8689,Jakarta Utara,dini hari,Berawan,60-95,24-33,15
8690,Jakarta Barat,pagi,Cerah Berawan,60-95,24-33,17
8691,Jakarta Selatan,pagi,Cerah Berawan,60-95,24-33,25
8692,Kepulauan Seribu,pagi,Cerah Berawan,60-95,24-33,0
8693,Jakarta Pusat,pagi,Cerah Berawan,60-95,24-33,2
8694,Jakarta Timur,pagi,Cerah Berawan,60-95,24-33,23
8695,Jakarta Timur,siang,Hujan Lokal,60-95,24-33,23
8696,Jakarta Barat,siang,Cerah Berawan,60-95,24-33,17
8697,Jakarta Selatan,siang,Hujan Lokal,60-95,24-33,25
8698,Kepulauan Seribu,siang,Cerah Berawan,60-95,24-33,0
8699,Jakarta Utara,pagi,Cerah Berawan,60-95,24-33,15
8700,Jakarta Barat,malam,Cerah,75-95,24-33,17
8701,Jakarta Pusat,dini hari,Cerah Berawan,75-95,24-33,2
8702,Jakarta Utara,dini hari,Cerah Berawan,75-95,24-33,15
8703,Jakarta Barat,dini hari,Berawan,75-95,24-33,17
8704,Jakarta Timur,dini hari,Cerah Berawan,75-95,24-33,23
8705,Jakarta Utara,malam,Berawan,75-95,24-33,15
8706,Jakarta Pusat,malam,Cerah Berawan,75-95,24-33,2
8707,Kepulauan Seribu,malam,Cerah Berawan,75-95,24-33,0
8708,Jakarta Selatan,malam,Cerah Berawan,75-95,24-33,25
8709,Jakarta Timur,malam,Cerah Berawan,75-95,24-33,23
8710,Jakarta Timur,siang,Hujan Sedang,75-95,24-33,23
8711,Jakarta Pusat,siang,Cerah Berawan,75-95,24-33,2
8712,Kepulauan Seribu,siang,Cerah Berawan,75-95,24-33,0
8713,Jakarta Selatan,siang,Hujan Lokal,75-95,24-33,25
8714,Jakarta Barat,siang,Hujan Lokal,75-95,24-33,17
8715,Kepulauan Seribu,dini hari,Berawan,75-95,24-33,0
8716,Jakarta Utara,pagi,Cerah Berawan,75-95,24-33,15
8717,Jakarta Pusat,pagi,Cerah Berawan,75-95,24-33,2
8718,Kepulauan Seribu,pagi,Cerah Berawan,75-95,24-33,0
8719,Jakarta Selatan,pagi,Cerah Berawan,75-95,24-33,25
8720,Jakarta Barat,pagi,Cerah Berawan,75-95,24-33,17
8721,Jakarta Timur,pagi,Cerah Berawan,75-95,24-33,23
8722,Jakarta Utara,siang,Cerah Berawan,75-95,24-33,15
8723,Jakarta Selatan,dini hari,Cerah Berawan,75-95,24-33,25
8724,Jakarta Selatan,dini hari,Cerah Berawan,70-95,24-33,25
8725,Jakarta Pusat,dini hari,Cerah Berawan,70-95,24-33,2
8726,Kepulauan Seribu,pagi,Cerah Berawan,70-95,24-33,0
8727,Jakarta Pusat,pagi,Cerah Berawan,70-95,24-33,2
8728,Jakarta Utara,pagi,Cerah Berawan,70-95,24-33,15
8729,Jakarta Timur,siang,Hujan Lokal,70-95,24-33,23
8730,Jakarta Barat,siang,Cerah Berawan,70-95,24-33,17
8731,Jakarta Selatan,siang,Hujan Lokal,70-95,24-33,25
8732,Kepulauan Seribu,siang,Cerah Berawan,70-95,24-33,0
8733,Jakarta Pusat,siang,Cerah Berawan,70-95,24-33,2
8734,Jakarta Utara,dini hari,Cerah Berawan,70-95,24-33,15
8735,Jakarta Utara,siang,Cerah Berawan,70-95,24-33,15
8736,Jakarta Barat,malam,Cerah Berawan,70-95,24-33,17
8737,Jakarta Selatan,malam,Cerah Berawan,70-95,24-33,25
8738,Kepulauan Seribu,malam,Hujan Lokal,70-95,24-33,0
8739,Jakarta Pusat,malam,Cerah Berawan,70-95,24-33,2
8740,Jakarta Utara,malam,Hujan Lokal,70-95,24-33,15
8741,Jakarta Timur,dini hari,Cerah Berawan,70-95,24-33,23
8742,Jakarta Barat,dini hari,Cerah Berawan,70-95,24-33,17
8743,Kepulauan Seribu,dini hari,Hujan Ringan,70-95,24-33,0
8744,Jakarta Timur,malam,Cerah Berawan,70-95,24-33,23
8745,Jakarta Selatan,pagi,Cerah Berawan,70-95,24-33,25
8746,Jakarta Barat,pagi,Cerah Berawan,70-95,24-33,17
8747,Jakarta Timur,pagi,Cerah Berawan,70-95,24-33,23
8748,Jakarta Pusat,dini hari,Cerah Berawan,75-95,24-32,2
8749,Jakarta Utara,dini hari,Cerah Berawan,75-95,24-32,15
8750,Kepulauan Seribu,dini hari,Hujan Lokal,75-95,24-32,0
8751,Jakarta Selatan,dini hari,Cerah Berawan,75-95,24-32,25
8752,Jakarta Barat,dini hari,Berawan,75-95,24-32,17
8753,Jakarta Timur,dini hari,Cerah Berawan,75-95,24-32,23
8754,Jakarta Utara,malam,Hujan Lokal,75-95,24-32,15
8755,Jakarta Pusat,malam,Hujan Lokal,75-95,24-32,2
8756,Jakarta Selatan,malam,Cerah Berawan,75-95,24-32,25
8757,Jakarta Barat,malam,Cerah Berawan,75-95,24-32,17
8758,Jakarta Timur,malam,Cerah Berawan,75-95,24-32,23
8759,Jakarta Utara,siang,Hujan Lokal,75-95,24-32,15
8760,Kepulauan Seribu,malam,Cerah Berawan,75-95,24-32,0
8761,Kepulauan Seribu,siang,Cerah Berawan,75-95,24-32,0
8762,Jakarta Selatan,siang,Hujan Sedang,75-95,24-32,25
8763,Jakarta Barat,siang,Hujan Ringan,75-95,24-32,17
8764,Jakarta Timur,siang,Hujan Sedang,75-95,24-32,23
8765,Jakarta Utara,pagi,Hujan Lokal,75-95,24-32,15
8766,Jakarta Pusat,pagi,Hujan Lokal,75-95,24-32,2
8767,Kepulauan Seribu,pagi,Hujan Lokal,75-95,24-32,0
8768,Jakarta Selatan,pagi,Cerah Berawan,75-95,24-32,25
8769,Jakarta Barat,pagi,Cerah Berawan,75-95,24-32,17
8770,Jakarta Pusat,siang,Hujan Lokal,75-95,24-32,2
8771,Jakarta Timur,pagi,Berawan,75-95,24-32,23
8772,Jakarta Utara,siang,Cerah Berawan,60-95,24-33,15
8773,Jakarta Timur,malam,Hujan Petir,60-95,24-33,23
8774,Jakarta Barat,malam,Hujan Ringan,60-95,24-33,17
8775,Jakarta Selatan,malam,Hujan Petir,60-95,24-33,25
8776,Jakarta Barat,dini hari,Berawan Tebal,60-95,24-33,17
8777,Jakarta Pusat,malam,Hujan Ringan,60-95,24-33,2
8778,Jakarta Utara,malam,Hujan Ringan,60-95,24-33,15
8779,Jakarta Timur,dini hari,Berawan Tebal,60-95,24-33,23
8780,Jakarta Pusat,siang,Berawan,60-95,24-33,2
8781,Kepulauan Seribu,malam,Hujan Ringan,60-95,24-33,0
8782,Jakarta Pusat,dini hari,Berawan Tebal,60-95,24-33,2
8783,Jakarta Selatan,dini hari,Berawan Tebal,60-95,24-33,25
8784,Jakarta Selatan,siang,Hujan Petir,60-95,24-33,25
8785,Jakarta Barat,siang,Berawan,60-95,24-33,17
8786,Jakarta Timur,siang,Hujan Petir,60-95,24-33,23
8787,Jakarta Utara,pagi,Cerah Berawan,60-95,24-33,15
8788,Jakarta Pusat,pagi,Cerah Berawan,60-95,24-33,2
8789,Kepulauan Seribu,pagi,Cerah Berawan,60-95,24-33,0
8790,Jakarta Selatan,pagi,Berawan,60-95,24-33,25
8791,Jakarta Barat,pagi,Cerah Berawan,60-95,24-33,17
8792,Jakarta Timur,pagi,Berawan,60-95,24-33,23
8793,Jakarta Utara,dini hari,Berawan Tebal,60-95,24-33,15
8794,Kepulauan Seribu,siang,Berawan,60-95,24-33,0
8795,Kepulauan Seribu,dini hari,Berawan Tebal,60-95,24-33,0
8796,Jakarta Timur,pagi,Berawan,80-100,24-32,23
8797,Jakarta Utara,malam,Hujan Lokal,80-100,24-32,15
8798,Jakarta Utara,dini hari,Hujan Ringan,80-100,24-32,15
8799,Jakarta Pusat,dini hari,Hujan Ringan,80-100,24-32,2
8800,Kepulauan Seribu,dini hari,Hujan Petir,80-100,24-32,0
8801,Jakarta Selatan,dini hari,Hujan Lokal,80-100,24-32,25
8802,Jakarta Barat,dini hari,Hujan Ringan,80-100,24-32,17
8803,Jakarta Timur,dini hari,Hujan Ringan,80-100,24-32,23
8804,Jakarta Pusat,malam,Hujan Lokal,80-100,24-32,2
8805,Kepulauan Seribu,malam,Hujan Lokal,80-100,24-32,0
8806,Jakarta Selatan,malam,Berawan,80-100,24-32,25
8807,Jakarta Timur,malam,Berawan,80-100,24-32,23
8808,Jakarta Barat,malam,Berawan,80-100,24-32,17
8809,Jakarta Pusat,siang,Hujan Ringan,80-100,24-32,2
8810,Kepulauan Seribu,siang,Hujan Lokal,80-100,24-32,0
8811,Jakarta Selatan,siang,Hujan Petir,80-100,24-32,25
8812,Jakarta Barat,siang,Hujan Ringan,80-100,24-32,17
8813,Jakarta Timur,siang,Hujan Petir,80-100,24-32,23
8814,Jakarta Utara,pagi,Berawan,80-100,24-32,15
8815,Jakarta Pusat,pagi,Berawan,80-100,24-32,2
8816,Kepulauan Seribu,pagi,Hujan Lokal,80-100,24-32,0
8817,Jakarta Selatan,pagi,Berawan,80-100,24-32,25
8818,Jakarta Barat,pagi,Berawan,80-100,24-32,17
8819,Jakarta Utara,siang,Hujan Lokal,80-100,24-32,15
8820,Jakarta Pusat,malam,Berawan,80-100,24-32,2
8821,Jakarta Barat,malam,Berawan,80-100,24-32,17
8822,Jakarta Selatan,malam,Hujan Lokal,80-100,24-32,25
8823,Kepulauan Seribu,malam,Berawan,80-100,24-32,0
8824,Jakarta Utara,malam,Berawan,80-100,24-32,15
8825,Jakarta Timur,malam,Hujan Lokal,80-100,24-32,23
8826,Jakarta Barat,dini hari,Berawan,80-100,24-32,17
8827,Jakarta Selatan,dini hari,Cerah Berawan,80-100,24-32,25
8828,Jakarta Utara,dini hari,Berawan,80-100,24-32,15
8829,Jakarta Utara,siang,Hujan Sedang,80-100,24-32,15
8830,Jakarta Timur,dini hari,Berawan,80-100,24-32,23
8831,Jakarta Pusat,siang,Hujan Sedang,80-100,24-32,2
8832,Kepulauan Seribu,dini hari,Berawan,80-100,24-32,0
8833,Jakarta Selatan,siang,Hujan Petir,80-100,24-32,25
8834,Jakarta Barat,siang,Hujan Petir,80-100,24-32,17
8835,Jakarta Timur,siang,Hujan Petir,80-100,24-32,23
8836,Jakarta Utara,pagi,Hujan Sedang,80-100,24-32,15
8837,Jakarta Pusat,pagi,Hujan Sedang,80-100,24-32,2
8838,Kepulauan Seribu,pagi,Hujan Petir,80-100,24-32,0
8839,Jakarta Selatan,pagi,Hujan Lokal,80-100,24-32,25
8840,Jakarta Barat,pagi,Hujan Ringan,80-100,24-32,17
8841,Jakarta Timur,pagi,Hujan Ringan,80-100,24-32,23
8842,Jakarta Pusat,dini hari,Berawan,80-100,24-32,2
8843,Kepulauan Seribu,siang,Hujan Lokal,80-100,24-32,0
8844,Jakarta Barat,pagi,Berawan,60-95,24-33,17
8845,Jakarta Selatan,pagi,Berawan,60-95,24-33,25
8846,Jakarta Barat,malam,Berawan,60-95,24-33,17
8847,Jakarta Utara,dini hari,Berawan,60-95,24-33,15
8848,Jakarta Pusat,dini hari,Berawan,60-95,24-33,2
8849,Kepulauan Seribu,dini hari,Hujan Lokal,60-95,24-33,0
8850,Jakarta Selatan,dini hari,Cerah Berawan,60-95,24-33,25
8851,Jakarta Barat,dini hari,Berawan,60-95,24-33,17
8852,Jakarta Timur,dini hari,Cerah Berawan,60-95,24-33,23
8853,Jakarta Utara,malam,Berawan,60-95,24-33,15
8854,Jakarta Pusat,malam,Berawan,60-95,24-33,2
8855,Kepulauan Seribu,malam,Cerah Berawan,60-95,24-33,0
8856,Jakarta Selatan,malam,Hujan Lokal,60-95,24-33,25
8857,Jakarta Timur,pagi,Berawan,60-95,24-33,23
8858,Jakarta Timur,malam,Hujan Lokal,60-95,24-33,23
8859,Jakarta Utara,siang,Berawan,60-95,24-33,15
8860,Jakarta Pusat,siang,Hujan Lokal,60-95,24-33,2
8861,Kepulauan Seribu,siang,Cerah Berawan,60-95,24-33,0
8862,Jakarta Selatan,siang,Hujan Petir,60-95,24-33,25
8863,Jakarta Barat,siang,Hujan Lokal,60-95,24-33,17
8864,Jakarta Timur,siang,Hujan Petir,60-95,24-33,23
8865,Jakarta Utara,pagi,Berawan,60-95,24-33,15
8866,Jakarta Pusat,pagi,Berawan,60-95,24-33,2
8867,Kepulauan Seribu,pagi,Berawan,60-95,24-33,0
8868,Jakarta Timur,pagi,Berawan,80-100,24-32,23
8869,Kepulauan Seribu,dini hari,Hujan Petir,80-100,24-32,0
8870,Jakarta Utara,dini hari,Hujan Lokal,80-100,24-32,15
8871,Jakarta Pusat,siang,Hujan Ringan,80-100,24-32,2
8872,Kepulauan Seribu,pagi,Hujan Lokal,80-100,24-32,0
8873,Jakarta Pusat,pagi,Berawan,80-100,24-32,2
8874,Jakarta Utara,pagi,Berawan,80-100,24-32,15
8875,Jakarta Timur,siang,Hujan Petir,80-100,24-32,23
8876,Jakarta Barat,siang,Hujan Ringan,80-100,24-32,17
8877,Jakarta Selatan,siang,Hujan Petir,80-100,24-32,25
8878,Kepulauan Seribu,siang,Hujan Lokal,80-100,24-32,0
8879,Jakarta Barat,pagi,Berawan,80-100,24-32,17
8880,Jakarta Selatan,pagi,Berawan,80-100,24-32,25
8881,Jakarta Utara,siang,Hujan Lokal,80-100,24-32,15
8882,Jakarta Barat,malam,Berawan,80-100,24-32,17
8883,Jakarta Selatan,malam,Berawan,80-100,24-32,25
8884,Kepulauan Seribu,malam,Berawan,80-100,24-32,0
8885,Jakarta Pusat,malam,Berawan,80-100,24-32,2
8886,Jakarta Utara,malam,Berawan,80-100,24-32,15
8887,Jakarta Timur,dini hari,Hujan Lokal,80-100,24-32,23
8888,Jakarta Barat,dini hari,Hujan Lokal,80-100,24-32,17
8889,Jakarta Selatan,dini hari,Berawan,80-100,24-32,25
8890,Jakarta Timur,malam,Berawan,80-100,24-32,23
8891,Jakarta Pusat,dini hari,Hujan Lokal,80-100,24-32,2
8892,Kepulauan Seribu,pagi,Hujan Lokal,80-95,23-30,0
8893,Jakarta Timur,pagi,Berawan,80-95,23-30,23
8894,Jakarta Selatan,pagi,Berawan,80-95,23-30,25
8895,Jakarta Utara,dini hari,Berawan Tebal,80-95,23-30,15
8896,Jakarta Barat,pagi,Hujan Lokal,80-95,23-30,17
8897,Jakarta Selatan,dini hari,Berawan Tebal,80-95,23-30,25
8898,Jakarta Barat,dini hari,Berawan Tebal,80-95,23-30,17
8899,Jakarta Timur,dini hari,Berawan Tebal,80-95,23-30,23
8900,Jakarta Utara,malam,Hujan Ringan,80-95,23-30,15
8901,Jakarta Pusat,malam,Berawan Tebal,80-95,23-30,2
8902,Kepulauan Seribu,malam,Hujan Ringan,80-95,23-30,0
8903,Jakarta Selatan,malam,Berawan Tebal,80-95,23-30,25
8904,Jakarta Barat,malam,Berawan Tebal,80-95,23-30,17
8905,Jakarta Timur,malam,Berawan Tebal,80-95,23-30,23
8906,Jakarta Utara,siang,Hujan Lokal,80-95,23-30,15
8907,Jakarta Pusat,siang,Hujan Lokal,80-95,23-30,2
8908,Kepulauan Seribu,siang,Hujan Lokal,80-95,23-30,0
8909,Jakarta Selatan,siang,Hujan Petir,80-95,23-30,25
8910,Jakarta Barat,siang,Hujan Lokal,80-95,23-30,17
8911,Jakarta Timur,siang,Hujan Petir,80-95,23-30,23
8912,Jakarta Utara,pagi,Hujan Lokal,80-95,23-30,15
8913,Jakarta Pusat,pagi,Hujan Lokal,80-95,23-30,2
8914,Kepulauan Seribu,dini hari,Hujan Lokal,80-95,23-30,0
8915,Jakarta Pusat,dini hari,Berawan Tebal,80-95,23-30,2
8916,Jakarta Pusat,pagi,Cerah Berawan,65-95,23-33,2
8917,Jakarta Timur,pagi,Cerah Berawan,65-95,23-33,23
8918,Jakarta Utara,pagi,Cerah Berawan,65-95,23-33,15
8919,Jakarta Timur,siang,Hujan Lokal,65-95,23-33,23
8920,Jakarta Barat,siang,Cerah Berawan,65-95,23-33,17
8921,Jakarta Selatan,siang,Hujan Lokal,65-95,23-33,25
8922,Kepulauan Seribu,siang,Cerah Berawan,65-95,23-33,0
8923,Jakarta Pusat,siang,Cerah Berawan,65-95,23-33,2
8924,Jakarta Utara,siang,Cerah Berawan,65-95,23-33,15
8925,Jakarta Selatan,pagi,Cerah Berawan,65-95,23-33,25
8926,Kepulauan Seribu,pagi,Cerah Berawan,65-95,23-33,0
8927,Jakarta Barat,malam,Cerah Berawan,65-95,23-33,17
8928,Kepulauan Seribu,malam,Cerah Berawan,65-95,23-33,0
8929,Jakarta Pusat,malam,Cerah Berawan,65-95,23-33,2
8930,Jakarta Utara,malam,Cerah Berawan,65-95,23-33,15
8931,Jakarta Timur,dini hari,Berawan,65-95,23-33,23
8932,Jakarta Barat,dini hari,Berawan,65-95,23-33,17
8933,Jakarta Selatan,dini hari,Berawan,65-95,23-33,25
8934,Kepulauan Seribu,dini hari,Hujan Lokal,65-95,23-33,0
8935,Jakarta Barat,pagi,Cerah Berawan,65-95,23-33,17
8936,Jakarta Selatan,malam,Cerah Berawan,65-95,23-33,25
8937,Jakarta Timur,malam,Cerah Berawan,65-95,23-33,23
8938,Jakarta Pusat,dini hari,Berawan,65-95,23-33,2
8939,Jakarta Utara,dini hari,Berawan,65-95,23-33,15
8940,Jakarta Utara,malam,Cerah Berawan,60-95,24-33,15
8941,Jakarta Utara,dini hari,Cerah,60-95,24-33,15
8942,Jakarta Pusat,dini hari,Cerah,60-95,24-33,2
8943,Kepulauan Seribu,dini hari,Cerah,60-95,24-33,0
8944,Jakarta Selatan,dini hari,Cerah Berawan,60-95,24-33,25
8945,Jakarta Barat,dini hari,Cerah Berawan,60-95,24-33,17
8946,Jakarta Timur,dini hari,Cerah Berawan,60-95,24-33,23
8947,Jakarta Pusat,malam,Cerah Berawan,60-95,24-33,2
8948,Kepulauan Seribu,malam,Cerah,60-95,24-33,0
8949,Jakarta Selatan,malam,Berawan,60-95,24-33,25
8950,Jakarta Timur,malam,Berawan,60-95,24-33,23
8951,Jakarta Barat,malam,Berawan,60-95,24-33,17
8952,Jakarta Pusat,siang,Cerah,60-95,24-33,2
8953,Jakarta Timur,pagi,Cerah Berawan,60-95,24-33,23
8954,Jakarta Barat,pagi,Cerah Berawan,60-95,24-33,17
8955,Jakarta Selatan,pagi,Cerah Berawan,60-95,24-33,25
8956,Kepulauan Seribu,pagi,Cerah Berawan,60-95,24-33,0
8957,Jakarta Utara,siang,Cerah,60-95,24-33,15
8958,Jakarta Utara,pagi,Cerah Berawan,60-95,24-33,15
8959,Jakarta Pusat,pagi,Cerah Berawan,60-95,24-33,2
8960,Jakarta Barat,siang,Cerah Berawan,60-95,24-33,17
8961,Jakarta Selatan,siang,Cerah Berawan,60-95,24-33,25
8962,Kepulauan Seribu,siang,Cerah,60-95,24-33,0
8963,Jakarta Timur,siang,Cerah,60-95,24-33,23
8964,Jakarta Selatan,malam,Cerah,55-85,23-33,25
8965,Jakarta Timur,dini hari,Cerah,55-85,23-33,23
8966,Kepulauan Seribu,malam,Cerah,55-85,23-33,0
8967,Jakarta Utara,malam,Cerah,55-85,23-33,15
8968,Jakarta Barat,dini hari,Cerah,55-85,23-33,17
8969,Jakarta Pusat,malam,Cerah,55-85,23-33,2
8970,Kepulauan Seribu,dini hari,Cerah,55-85,23-33,0
8971,Jakarta Pusat,dini hari,Cerah,55-85,23-33,2
8972,Jakarta Utara,dini hari,Cerah,55-85,23-33,15
8973,Jakarta Barat,malam,Cerah,55-85,23-33,17
8974,Jakarta Selatan,dini hari,Cerah,55-85,23-33,25
8975,Jakarta Timur,malam,Cerah,55-85,23-33,23
8976,Jakarta Pusat,pagi,Cerah,55-85,23-33,2
8977,Jakarta Pusat,siang,Cerah,55-85,23-33,2
8978,Jakarta Timur,pagi,Cerah,55-85,23-33,23
8979,Jakarta Utara,siang,Cerah,55-85,23-33,15
8980,Jakarta Selatan,pagi,Cerah,55-85,23-33,25
8981,Kepulauan Seribu,pagi,Cerah,55-85,23-33,0
8982,Jakarta Utara,pagi,Cerah,55-85,23-33,15
8983,Jakarta Barat,pagi,Cerah,55-85,23-33,17
8984,Jakarta Barat,siang,Cerah,55-85,23-33,17
8985,Jakarta Selatan,siang,Cerah,55-85,23-33,25
8986,Kepulauan Seribu,siang,Cerah,55-85,23-33,0
8987,Jakarta Timur,siang,Cerah,55-85,23-33,23
8988,Jakarta Barat,Malam,Cerah Berawan,55-90,22-34,17
8989,Jakarta Utara,Dini Hari,Cerah Berawan,55-90,22-34,15
8990,Jakarta Pusat,Dini Hari,Cerah Berawan,55-90,22-34,2
8991,Kepulauan Seribu,Dini Hari,Cerah Berawan,55-90,22-34,0
8992,Jakarta Selatan,Dini Hari,Cerah Berawan,55-90,22-34,25
8993,Jakarta Barat,Dini Hari,Cerah Berawan,55-90,22-34,17
8994,Jakarta Timur,Dini Hari,Cerah Berawan,55-90,22-34,23
8995,Jakarta Utara,Malam,Cerah Berawan,55-90,22-34,15
8996,Kepulauan Seribu,Malam,Cerah Berawan,55-90,22-34,0
8997,Jakarta Selatan,Malam,Cerah Berawan,55-90,22-34,25
8998,Jakarta Timur,Malam,Cerah Berawan,55-90,22-34,23
8999,Jakarta Pusat,Malam,Cerah Berawan,55-90,22-34,2
9000,Jakarta Pusat,Siang,Cerah Berawan,55-90,22-34,2
9001,Kepulauan Seribu,Siang,Cerah Berawan,55-90,22-34,0
9002,Jakarta Selatan,Siang,Cerah Berawan,55-90,22-34,25
9003,Jakarta Barat,Siang,Cerah Berawan,55-90,22-34,17
9004,Jakarta Timur,Siang,Cerah Berawan,55-90,22-34,23
9005,Jakarta Utara,Pagi,Cerah Berawan,55-90,22-34,15
9006,Jakarta Pusat,Pagi,Cerah Berawan,55-90,22-34,2
9007,Kepulauan Seribu,Pagi,Cerah Berawan,55-90,22-34,0
9008,Jakarta Selatan,Pagi,Cerah Berawan,55-90,22-34,25
9009,Jakarta Barat,Pagi,Cerah Berawan,55-90,22-34,17
9010,Jakarta Timur,Pagi,Cerah Berawan,55-90,22-34,23
9011,Jakarta Utara,Siang,Cerah Berawan,55-90,22-34,15
9012,Jakarta Selatan,Malam,Cerah Berawan,60-90,23-33,25
9013,Kepulauan Seribu,Malam,Cerah Berawan,60-90,23-33,0
9014,Jakarta Pusat,Malam,Cerah Berawan,60-90,23-33,2
9015,Jakarta Utara,Malam,Cerah Berawan,60-90,23-33,15
9016,Jakarta Barat,Malam,Cerah Berawan,60-90,23-33,17
9017,Jakarta Barat,Dini Hari,Cerah Berawan,60-90,23-33,17
9018,Jakarta Selatan,Dini Hari,Cerah Berawan,60-90,23-33,25
9019,Kepulauan Seribu,Dini Hari,Cerah Berawan,60-90,23-33,0
9020,Jakarta Pusat,Dini Hari,Cerah Berawan,60-90,23-33,2
9021,Jakarta Timur,Dini Hari,Cerah Berawan,60-90,23-33,23
9022,Jakarta Timur,Malam,Cerah Berawan,60-90,23-33,23
9023,Jakarta Utara,Dini Hari,Cerah Berawan,60-90,23-33,15
9024,Jakarta Pusat,Siang,Cerah Berawan,60-90,23-33,2
9025,Jakarta Timur,Pagi,Cerah Berawan,60-90,23-33,23
9026,Jakarta Barat,Pagi,Cerah Berawan,60-90,23-33,17
9027,Jakarta Selatan,Pagi,Cerah Berawan,60-90,23-33,25
9028,Kepulauan Seribu,Pagi,Cerah Berawan,60-90,23-33,0
9029,Jakarta Pusat,Pagi,Cerah Berawan,60-90,23-33,2
9030,Jakarta Utara,Siang,Cerah Berawan,60-90,23-33,15
9031,Jakarta Timur,Siang,Hujan Lokal,60-90,23-33,23
9032,Jakarta Barat,Siang,Hujan Lokal,60-90,23-33,17
9033,Jakarta Selatan,Siang,Hujan Lokal,60-90,23-33,25
9034,Kepulauan Seribu,Siang,Cerah Berawan,60-90,23-33,0
9035,Jakarta Utara,Pagi,Cerah Berawan,60-90,23-33,15
9036,Jakarta Barat,Malam,Cerah Berawan,65-90,23-33,17
9037,Jakarta Selatan,Malam,Cerah Berawan,65-90,23-33,25
9038,Kepulauan Seribu,Malam,Cerah Berawan,65-90,23-33,0
